Validprtprimcattyp|Validprtsubcattyp|Prtid|Locid|Prtlglnm|Prtlocnm|Validloctyp|Phyaddrstr1txt|Phyaddrstr2txt|Phyaddrctynm|PhyAddrStCd|Phyaddrpostcd|Geolattude|Geolngtude|Phone|Fax|Web|Email|Lastupdtdt
ED|SBDC|83279|249642|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~ Boise State University College of Business|HO|2360 W. University Drive|Suite 2132|Boise|ID|83725|||||||11/21/2016
ED|SBDC|83279|249643|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~Boise State University|BO|2360 W. University Drive|Suite 2132|Boise|ID|83725|||||||11/21/2016
ED|SBDC|83279|249644|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~Idaho State University|BO|2300 North Yellowstone Highway| |Idaho Falls|ID|83401|||||||11/21/2016
ED|SBDC|83279|249645|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~Lewis-Clark State College|BO|406 Main Street| |Lewiston|ID|83501|||||||11/21/2016
ED|SBDC|83279|249648|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~Idaho State University|BO|921 8th Avenue| College of Business, Room 328|Pocatello|ID|83209|||||||11/21/2016
ED|SBDC|83279|249649|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~North Idaho College|BO|525 South Clearwater Loop| |Post Falls|ID|83854|||||||11/21/2016
ED|SBDC|83279|249650|Idaho Small Business Development Center ~ Boise State University College of Business |Idaho Small Business Development Center ~College of Southern Idaho|BO|315 Falls Avenue| Evergreen Building, Rm C77|Twin Falls|ID|83303-1238|||||||11/21/2016
ED|SBDC|242665|437225|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|California SBDC ~ Santa Ana ~ Orange County/Inland Empire SBDC ~ California State University Fullerton|HO|800 North State College Blvd.| SGMH 4210|Fullerton|CA|92831|||657-278-2719||||02/17/2012
ED|SBDC|242665|437227|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|California SBDC ~ Santa Ana ~ Orange County/Inland Empire SBDC ~Orange County SBDC|BO|2323 N. Broadway| Suite 201|Santa Ana|CA|92706|||714-564-5200||||02/17/2012
ED|SBDC|242665|437229|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|California SBDC ~ Santa Ana ~ Orange County/Inland Empire SBDC ~TriTech SBDC (Satalite Office)|BO|1650 Spruce Street, Suite 500 ||Riverside|CA|92507|||949-794-7229||http://www.tritechsuccess.org||02/17/2012
ED|SBDC|242665|437230|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|California SBDC ~ Santa Ana ~ Orange County/Inland Empire SBDC ~Inland Empire SBDC (Main Office)|BO|1650 Spruce Street, Suite 500| |Riverside|CA|92507|||951-781-2345||||02/17/2012
ED|SBDC|242665|506928|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|Orange County Hispanic SBDC|BO|2130 E 4th Street #160||Santa Ana|CA|92704|||714-953-4289||||06/03/2015
ED|SBDC|242665|487838|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|California SBDC ~ Santa Ana ~ Orange County Inland Empire ~ Orange County Launchpad SBDC|BO|65 Enterprise||Aliso Vejo|CA|92656|||||||12/14/2016
ED|SBDC|242665|507442|California SBDC ~ Santa Ana ~ Orange County/Inland Empire Regional SBDC ~ CSU Fullerton|Coachella Valley SBDC|BO|44-199 Monroe Street, Suite B||Indio|CA|92201|||760-863-2552|||JTIJERINA@rivcoeda.org|03/02/2017
