Validprtprimcattyp|Validprtsubcattyp|Prtid|Locid|Prtlglnm|Prtlocnm|Validloctyp|Phyaddrstr1txt|Phyaddrstr2txt|Phyaddrctynm|PhyAddrStCd|Phyaddrpostcd|Geolattude|Geolngtude|Phone|Fax|Web|Email|Lastupdtdt
ED|SCORE|107076|282675|Buffalo Niagara SCORE|Buffalo Niagara SCORE|HO|130 South Elmwood Avenue|Suite 540|Buffalo|NY|14202|||(716) 551-4301||http://buffaloniagara.score.org/chapters/buffalo-niagara-score|scorebuffalo1@roadrunner.com|07/17/2012
ED|SCORE|242458|436554|Bangor Maine 0314|Bangor Maine|HO|202 Harlow Street, Federal Building|Room 230|Bangor|ME|04401|||(207)942-0103||http://bangor.score.org/chapters/bangor-score|patricia.rice@scorevolunteer.org|07/21/2012
ED|SCORE|107073|282672|Boston SCORE|Boston SCORE|HO|10 Causeway Street||Boston|MA|02222-1093|||(617) 565-5591||http://boston.score.org/chapters/boston-score|Boston-score-20@verizon.net|07/21/2012
ED|SCORE|107074|282673|Bozeman SCORE|Bozeman SCORE|HO|2000 Commerce Way| |Bozeman|MT|59715-|||(406) 586-5421||http://bozeman.score.org/chapters/bozeman-score|bznscore@bozemanchamber.com|07/17/2012
ED|SCORE|107355|282954|Bucks County SCORE|Bucks County SCORE|HO|11 Welden Drive Suite 100 (IDA)||Doylestown|PA|18901|||(215) 943-8850||www.buckscounty.score.org|score570@verizon.net|06/03/2016
ED|SCORE|107433|283032|Bellingham SCORE|Bellingham SCORE|HO|115 Unity Street, Suite 101| |Bellingham|WA|98225|||(360)685-4259||http://bellingham.score.org/chapters/bellingham-score|score591office@qwestoffice.net|06/01/2016
ED|SCORE|107369|282968|Billings SCORE|Billings SCORE|HO|402 N. Broadway| |Billings|MT|59101|||(406) 927-7640||http://billings.score.org/chapters/billings-score|djohnson@crowleylaw.com|12/28/2015
ED|SCORE|107072|282671|Bloomington SCORE|Bloomington SCORE|HO|223  West Dodds St.|Storage Express Building Suite 133|Bloomington|IN|47403|||(618) 751-2668||http://southernillinois.score.org/chapters/southern-illinois-score|score527@sbcglobal.net|06/01/2016
ED|SCORE|107069|282668|Baton Rouge SCORE|Baton Rouge SCORE|HO|Louisiana Technology Park| 7117 Florida Blvd, Suite 313|Baton Rouge|LA|70806|||(225) 381-7130||http://batonrougearea.score.org/chapters/baton-rouge-area-score|scorebr@scorebr.org|07/21/2012
ED|SCORE|107071|282670|Bismarck-Mandan SCORE|Bismarck-Mandan SCORE|HO|1200 Memorial Hwy/PO BOX 5509| |Bismarck|ND|58506|||(701)328-5861||http://bismarckmandan.score.org/chapters/bismarck-mandan-score|score365@btinet.net|12/28/2015
ED|SCORE|107070|282669|Bergen Cty SCORE|Bergen Cty SCORE|HO|1 Bergen County Plaza, Room #5B| Bergen County Administration Bldg|Hackensack|NJ|07601|||(201) 599-6090||http://bergen.score.org/chapters/bergen-score|contact@scorebergen.org|06/03/2016
ED|SCORE|107413|283012|Coachella Valley SCORE|Coachella Valley SCORE|HO|43-100 Cook St., Suite 104||Palm Desert|CA|92211|||760-773-6507||http://coachellavalley.score.org/|info@scorecv.org|07/20/2012
ED|SCORE|107100|282699|Coastal Carolina SCORE 0660|Coastal Carolina SCORE|HO|3615 Arendell Street| |Morehead City|NC|28557-|||(252) 222-6126||http://coastalcarolina.score.org/chapters/coastal-carolina-score-660|score@carteret.edu|07/17/2012
