Validprtprimcattyp|Validprtsubcattyp|Prtid|Locid|Prtlglnm|Prtlocnm|Validloctyp|Phyaddrstr1txt|Phyaddrstr2txt|Phyaddrctynm|PhyAddrStCd|Phyaddrpostcd|Geolattude|Geolngtude|Phone|Fax|Web|Email|Lastupdtdt
ED|WBC|242534|436807|BOC Women's Business Center/Business Outreach Center Network, Inc.|Business OUtreach Center Network|HO|85 South Oxford Street|2nd Floor|Brooklyn|NY|11217|||718-624-9115||http://www.bocnet.org/boc/boc_services_womens_business_ctr.asp||06/07/2017
ED|WBC|242534|507501|BOC Women's Business Center/Business Outreach Center Network, Inc.|BOC WBC Staten Island Satellite Office|BO|705 Forest Avenue|2nd Fl. Rear|Staten Island|NY|10310-2506|||718-816-4775||http://www.bocnet.org/boc/boc_services_womens_business_ctr.asp|wbcsi@bocnet.org|04/20/2017
ED|WBC|243979|444917|Women's Business Center of Rural Alabama|Women's Business Center of Rural Alabama|HO|616 Douglas Avenue| |Brewton|AL|36426|||251-867-5600||http://womensbusinessalliance.org/services/wbcral/|ejernigan@womenbiz.biz|04/19/2016
ED|WBC|243832|444649|Coachella Valley WBC/University Enterprises Corp. at CA State Uninversity of San Bernandino|Coachella Valley WBC/University Enterprises Corp.at CA State University of San Bermadino|HO|77-806 Flora Road|Suite C|Palm Desert|CA|92211|||760-345-9200||www.cvwbc.org|mskiljan@iewbc.org|09/23/2016
ED|WBC|243746|444136|Women's Business @ CEI: Rural Maine|The Women's Business Center at CEI: Rural Maine|HO|165 Front Street||Farmington|ME|04938|||207-778-6529||http://www.ceimaine.org/consulting/business-counseling-development/womens-business-center/rural-maine-wbc/|Betty.gensel@ceimaine.org|04/06/2017
ED|WBC|242573|436988|Cornerstone Alliance|Cornerstone Alliance (WBC~MI)|HO|38 West Wall Street| |Benton Harbor|MI|49022|||269-757-0211 x211||www.cornerstonewbc.org|madams@cstonealliance.org|04/23/2014
ED|WBC|181546|347989|Canisius College Women's Business Center|Canisius College Women's Business Center|HO|2365 Main Street||Buffalo|NY|14214|||716-888-8280||www.thewomensbusinesscenter.com|vescioll@canisius.edu|05/18/2017
ED|WBC|83150|249019|Great Lakes Women's Business Council|Great Lakes Women's Business Council|HO|33109 Schoolcraft Road||Livonia|MI|48150|||734-677-1400||www.miwomen.com|dloeser@miceed.org|02/15/2017
ED|WBC|83145|249011|Center for Women & Enterprise|Center for Women and Enterprise|HO|69 Milk Street|Suite 217|Westborough|MA|01581|||617-532-0248||www.cweonline.org||07/24/2017
ED|WBC|83144|249010|Center for Women & Enterprise Inc. (CWE) - Boston|Center for Women & Enterprise Inc. (CWE)|HO|24 School Street|Suite 700|Boston|MA|02108|||617-532-0257||www.cweonline.org|elafleur@cweonline.org|04/19/2016
ED|WBC|83178|249055|Center for Women & Enterprise, Inc. (Rhode Island)|Center for Women & Enterprise, Inc. (CWE) RI|HO|132 George M. Cohan Blvd|2nd Floor|Providence|RI|02903|||401-277 0800  X308||www.cweonline.org||01/26/2012
